Superlattice vectors (celldm1 units):
-0.500000 6.062178 0.000000
-5.500000 2.598076 0.000000
Layer 1 points (Angstrom):
C -13.530000 4.970986 0.000000
C -14.760000 7.101408 0.000000
C -9.840000 2.840563 0.000000
C -11.070000 4.970986 0.000000
C -12.300000 4.260845 0.000000
C -12.300000 7.101408 0.000000
C -13.530000 6.391267 0.000000
C -13.530000 9.231831 0.000000
C -14.760000 8.521690 0.000000
C -14.760000 11.362253 0.000000
C -15.990000 10.652112 0.000000
C -15.990000 13.492676 0.000000
C -6.150000 0.710141 0.000000
C -7.380000 2.840563 0.000000
C -8.610000 2.130422 0.000000
C -8.610000 4.970986 0.000000
C -9.840000 4.260845 0.000000
C -9.840000 7.101408 0.000000
C -11.070000 6.391267 0.000000
C -11.070000 9.231831 0.000000
C -12.300000 8.521690 0.000000
C -12.300000 11.362253 0.000000
C -13.530000 10.652112 0.000000
C -13.530000 13.492676 0.000000
C -14.760000 12.782535 0.000000
C -14.760000 15.623098 0.000000
C -15.990000 14.912957 0.000000
C -15.990000 17.753521 0.000000
C -3.690000 0.710141 0.000000
C -4.920000 0.000000 0.000000
C -4.920000 2.840563 0.000000
C -6.150000 2.130422 0.000000
C -6.150000 4.970986 0.000000
C -7.380000 4.260845 0.000000
C -7.380000 7.101408 0.000000
C -8.610000 6.391267 0.000000
C -8.610000 9.231831 0.000000
C -9.840000 8.521690 0.000000
C -9.840000 11.362253 0.000000
C -11.070000 10.652112 0.000000
C -11.070000 13.492676 0.000000
C -12.300000 12.782535 0.000000
C -12.300000 15.623098 0.000000
C -13.530000 14.912957 0.000000
C -13.530000 17.753521 0.000000
C -14.760000 17.043380 0.000000
C -15.990000 19.173802 0.000000
C -2.460000 0.000000 0.000000
C -2.460000 2.840563 0.000000
C -3.690000 2.130422 0.000000
C -3.690000 4.970986 0.000000
C -4.920000 4.260845 0.000000
C -4.920000 7.101408 0.000000
C -6.150000 6.391267 0.000000
C -6.150000 9.231831 0.000000
C -7.380000 8.521690 0.000000
C -7.380000 11.362253 0.000000
C -8.610000 10.652112 0.000000
C -8.610000 13.492676 0.000000
C -9.840000 12.782535 0.000000
C -9.840000 15.623098 0.000000
C -11.070000 14.912957 0.000000
C -12.300000 17.043380 0.000000
C -3.690000 6.391267 0.000000
C -3.690000 9.231831 0.000000
C -4.920000 8.521690 0.000000
C -4.920000 11.362253 0.000000
C -6.150000 10.652112 0.000000
C -6.150000 13.492676 0.000000
C -7.380000 12.782535 0.000000
C -8.610000 14.912957 0.000000
C -3.690000 10.652112 0.000000
C -3.690000 13.492676 0.000000
C -4.920000 12.782535 0.000000
Number of points in layer 1: 74
Layer 2 points (Angstrom):
C -13.297297 4.990179 3.300000
C -14.859730 6.890285 3.300000
C -7.745676 1.593019 3.300000
C -9.308108 3.493125 3.300000
C -10.405135 2.591054 3.300000
C -10.870541 5.393232 3.300000
C -11.967568 4.491161 3.300000
C -12.432973 7.293338 3.300000
C -13.530000 6.391267 3.300000
C -13.995405 9.193445 3.300000
C -15.092432 8.291374 3.300000
C -15.557838 11.093551 3.300000
C -3.756486 0.095965 3.300000
C -5.318919 1.996072 3.300000
C -6.415946 1.094001 3.300000
C -6.881351 3.896178 3.300000
C -7.978378 2.994107 3.300000
C -8.443784 5.796285 3.300000
C -9.540811 4.894214 3.300000
C -10.006216 7.696391 3.300000
C -11.103243 6.794320 3.300000
C -11.568649 9.596498 3.300000
C -12.665676 8.694427 3.300000
C -13.131081 11.496604 3.300000
C -14.228108 10.594533 3.300000
C -14.693514 13.396711 3.300000
C -15.790541 12.494640 3.300000
C -16.255946 15.296817 3.300000
C -2.426757 -0.403053 3.300000
C -2.892162 2.399124 3.300000
C -3.989189 1.497054 3.300000
C -4.454595 4.299231 3.300000
C -5.551622 3.397160 3.300000
C -6.017027 6.199337 3.300000
C -7.114054 5.297267 3.300000
C -7.579459 8.099444 3.300000
C -8.676486 7.197373 3.300000
C -9.141892 9.999551 3.300000
C -10.238919 9.097480 3.300000
C -10.704324 11.899657 3.300000
C -11.801351 10.997586 3.300000
C -12.266757 13.799764 3.300000
C -13.363784 12.897693 3.300000
C -13.829189 15.699870 3.300000
C -14.926216 14.797799 3.300000
C -15.391622 17.599977 3.300000
C -16.488649 16.697906 3.300000
C -3.124865 3.800213 3.300000
C -3.590270 6.602390 3.300000
C -4.687297 5.700320 3.300000
C -5.152703 8.502497 3.300000
C -6.249730 7.600426 3.300000
C -6.715135 10.402603 3.300000
C -7.812162 9.500533 3.300000
C -8.277568 12.302710 3.300000
C -9.374595 11.400639 3.300000
C -9.840000 14.202817 3.300000
C -10.937027 13.300746 3.300000
C -11.402432 16.102923 3.300000
C -12.499459 15.200852 3.300000
C -12.964865 18.003030 3.300000
C -14.061892 17.100959 3.300000
C -15.624324 19.001065 3.300000
C -3.822973 8.003479 3.300000
C -4.288378 10.805656 3.300000
C -5.385405 9.903586 3.300000
C -5.850811 12.705763 3.300000
C -6.947838 11.803692 3.300000
C -7.413243 14.605869 3.300000
C -8.510270 13.703799 3.300000
C -10.072703 15.603905 3.300000
C -3.424054 13.108816 3.300000
C -4.521081 12.206745 3.300000
C -6.083514 14.106852 3.300000
Number of points in layer 2: 74

Total number of atoms: 148
