Superlattice vectors (celldm1 units):
17.00000000000 -10.39230480000 0.00000000000
-0.50000000000 -19.91858420000 -0.00000000000
Layer 1 points (Angstrom):
S -1.58120700000 -64.81663010412 5.31045680000
S -1.58120700000 -64.81663010412 3.10314865000
S -3.16241400000 -62.07789925481 5.31045680000
S -3.16241400000 -62.07789925481 3.10314865000
S 3.16241400000 -67.55536095344 5.31045680000
S 3.16241400000 -67.55536095344 3.10314865000
S 1.58120700000 -64.81663010412 5.31045680000
S 1.58120700000 -64.81663010412 3.10314865000
Mo 0.00000000000 -65.72954038357 4.20680272500
S 0.00000000000 -62.07789925481 5.31045680000
S 0.00000000000 -62.07789925481 3.10314865000
Mo -1.58120700000 -62.99080953426 4.20680272500
S -1.58120700000 -59.33916840549 5.31045680000
S -1.58120700000 -59.33916840549 3.10314865000
Mo -3.16241400000 -60.25207868494 4.20680272500
S -3.16241400000 -56.60043755617 5.31045680000
S -3.16241400000 -56.60043755617 3.10314865000
S 7.90603500000 -70.29409180275 5.31045680000
S 7.90603500000 -70.29409180275 3.10314865000
S 6.32482800000 -67.55536095344 5.31045680000
S 6.32482800000 -67.55536095344 3.10314865000
Mo 4.74362100000 -68.46827123289 4.20680272500
S 4.74362100000 -64.81663010412 5.31045680000
S 4.74362100000 -64.81663010412 3.10314865000
Mo 3.16241400000 -65.72954038357 4.20680272500
S 3.16241400000 -62.07789925481 5.31045680000
S 3.16241400000 -62.07789925481 3.10314865000
Mo 1.58120700000 -62.99080953426 4.20680272500
S 1.58120700000 -59.33916840549 5.31045680000
S 1.58120700000 -59.33916840549 3.10314865000
Mo 0.00000000000 -60.25207868494 4.20680272500
S 0.00000000000 -56.60043755617 5.31045680000
S 0.00000000000 -56.60043755617 3.10314865000
Mo -1.58120700000 -57.51334783563 4.20680272500
S -1.58120700000 -53.86170670686 5.31045680000
S -1.58120700000 -53.86170670686 3.10314865000
Mo -3.16241400000 -54.77461698631 4.20680272500
S -3.16241400000 -51.12297585754 5.31045680000
S -3.16241400000 -51.12297585754 3.10314865000
S 14.23086300000 -75.77155350138 5.31045680000
S 14.23086300000 -75.77155350138 3.10314865000
S 12.64965600000 -73.03282265207 5.31045680000
S 12.64965600000 -73.03282265207 3.10314865000
S 11.06844900000 -70.29409180275 5.31045680000
S 11.06844900000 -70.29409180275 3.10314865000
Mo 9.48724200000 -71.20700208221 4.20680272500
S 9.48724200000 -67.55536095344 5.31045680000
S 9.48724200000 -67.55536095344 3.10314865000
Mo 7.90603500000 -68.46827123289 4.20680272500
S 7.90603500000 -64.81663010412 5.31045680000
S 7.90603500000 -64.81663010412 3.10314865000
Mo 6.32482800000 -65.72954038357 4.20680272500
S 6.32482800000 -62.07789925481 5.31045680000
S 6.32482800000 -62.07789925481 3.10314865000
Mo 4.74362100000 -62.99080953426 4.20680272500
S 4.74362100000 -59.33916840549 5.31045680000
S 4.74362100000 -59.33916840549 3.10314865000
Mo 3.16241400000 -60.25207868494 4.20680272500
S 3.16241400000 -56.60043755617 5.31045680000
S 3.16241400000 -56.60043755617 3.10314865000
Mo 1.58120700000 -57.51334783563 4.20680272500
S 1.58120700000 -53.86170670686 5.31045680000
S 1.58120700000 -53.86170670686 3.10314865000
Mo 0.00000000000 -54.77461698631 4.20680272500
S 0.00000000000 -51.12297585754 5.31045680000
S 0.00000000000 -51.12297585754 3.10314865000
Mo -1.58120700000 -52.03588613700 4.20680272500
S -1.58120700000 -48.38424500823 5.31045680000
S -1.58120700000 -48.38424500823 3.10314865000
Mo -3.16241400000 -49.29715528768 4.20680272500
S -3.16241400000 -45.64551415891 5.31045680000
S -3.16241400000 -45.64551415891 3.10314865000
S 18.97448400000 -78.51028435070 5.31045680000
S 18.97448400000 -78.51028435070 3.10314865000
S 17.39327700000 -75.77155350138 5.31045680000
S 17.39327700000 -75.77155350138 3.10314865000
Mo 15.81207000000 -76.68446378084 4.20680272500
S 15.81207000000 -73.03282265207 5.31045680000
S 15.81207000000 -73.03282265207 3.10314865000
Mo 14.23086300000 -73.94573293152 4.20680272500
S 14.23086300000 -70.29409180275 5.31045680000
S 14.23086300000 -70.29409180275 3.10314865000
Mo 12.64965600000 -71.20700208221 4.20680272500
S 12.64965600000 -67.55536095344 5.31045680000
S 12.64965600000 -67.55536095344 3.10314865000
Mo 11.06844900000 -68.46827123289 4.20680272500
S 11.06844900000 -64.81663010412 5.31045680000
S 11.06844900000 -64.81663010412 3.10314865000
Mo 9.48724200000 -65.72954038357 4.20680272500
S 9.48724200000 -62.07789925481 5.31045680000
S 9.48724200000 -62.07789925481 3.10314865000
Mo 7.90603500000 -62.99080953426 4.20680272500
S 7.90603500000 -59.33916840549 5.31045680000
S 7.90603500000 -59.33916840549 3.10314865000
Mo 6.32482800000 -60.25207868494 4.20680272500
S 6.32482800000 -56.60043755617 5.31045680000
S 6.32482800000 -56.60043755617 3.10314865000
Mo 4.74362100000 -57.51334783563 4.20680272500
S 4.74362100000 -53.86170670686 5.31045680000
S 4.74362100000 -53.86170670686 3.10314865000
Mo 3.16241400000 -54.77461698631 4.20680272500
S 3.16241400000 -51.12297585754 5.31045680000
S 3.16241400000 -51.12297585754 3.10314865000
Mo 1.58120700000 -52.03588613700 4.20680272500
S 1.58120700000 -48.38424500823 5.31045680000
S 1.58120700000 -48.38424500823 3.10314865000
Mo 0.00000000000 -49.29715528768 4.20680272500
S 0.00000000000 -45.64551415891 5.31045680000
S 0.00000000000 -45.64551415891 3.10314865000
Mo -1.58120700000 -46.55842443837 4.20680272500
S -1.58120700000 -42.90678330960 5.31045680000
S -1.58120700000 -42.90678330960 3.10314865000
Mo -3.16241400000 -43.81969358905 4.20680272500
S -3.16241400000 -40.16805246028 5.31045680000
S -3.16241400000 -40.16805246028 3.10314865000
S 23.71810500000 -81.24901520001 5.31045680000
S 23.71810500000 -81.24901520001 3.10314865000
S 22.13689800000 -78.51028435070 5.31045680000
S 22.13689800000 -78.51028435070 3.10314865000
Mo 20.55569100000 -79.42319463015 4.20680272500
S 20.55569100000 -75.77155350138 5.31045680000
S 20.55569100000 -75.77155350138 3.10314865000
Mo 18.97448400000 -76.68446378084 4.20680272500
S 18.97448400000 -73.03282265207 5.31045680000
S 18.97448400000 -73.03282265207 3.10314865000
Mo 17.39327700000 -73.94573293152 4.20680272500
S 17.39327700000 -70.29409180275 5.31045680000
S 17.39327700000 -70.29409180275 3.10314865000
Mo 15.81207000000 -71.20700208221 4.20680272500
S 15.81207000000 -67.55536095344 5.31045680000
S 15.81207000000 -67.55536095344 3.10314865000
Mo 14.23086300000 -68.46827123289 4.20680272500
S 14.23086300000 -64.81663010412 5.31045680000
S 14.23086300000 -64.81663010412 3.10314865000
Mo 12.64965600000 -65.72954038357 4.20680272500
S 12.64965600000 -62.07789925481 5.31045680000
S 12.64965600000 -62.07789925481 3.10314865000
Mo 11.06844900000 -62.99080953426 4.20680272500
S 11.06844900000 -59.33916840549 5.31045680000
S 11.06844900000 -59.33916840549 3.10314865000
Mo 9.48724200000 -60.25207868494 4.20680272500
S 9.48724200000 -56.60043755617 5.31045680000
S 9.48724200000 -56.60043755617 3.10314865000
Mo 7.90603500000 -57.51334783563 4.20680272500
S 7.90603500000 -53.86170670686 5.31045680000
S 7.90603500000 -53.86170670686 3.10314865000
Mo 6.32482800000 -54.77461698631 4.20680272500
S 6.32482800000 -51.12297585754 5.31045680000
S 6.32482800000 -51.12297585754 3.10314865000
Mo 4.74362100000 -52.03588613700 4.20680272500
S 4.74362100000 -48.38424500823 5.31045680000
S 4.74362100000 -48.38424500823 3.10314865000
Mo 3.16241400000 -49.29715528768 4.20680272500
S 3.16241400000 -45.64551415891 5.31045680000
S 3.16241400000 -45.64551415891 3.10314865000
Mo 1.58120700000 -46.55842443837 4.20680272500
S 1.58120700000 -42.90678330960 5.31045680000
S 1.58120700000 -42.90678330960 3.10314865000
Mo 0.00000000000 -43.81969358905 4.20680272500
S 0.00000000000 -40.16805246028 5.31045680000
S 0.00000000000 -40.16805246028 3.10314865000
Mo -1.58120700000 -41.08096273973 4.20680272500
S -1.58120700000 -37.42932161096 5.31045680000
S -1.58120700000 -37.42932161096 3.10314865000
Mo -3.16241400000 -38.34223189042 4.20680272500
S -3.16241400000 -34.69059076165 5.31045680000
