Superlattice vectors (celldm1 units):
Mo -84.564000 75.946963 5.889524
S1 -84.564000 79.563486 4.344408
S2 -84.564000 79.563486 7.434640
Mo -86.130000 78.659355 5.889524
S1 -86.130000 82.275877 4.344408
S2 -86.130000 82.275877 7.434640
Mo -87.696000 81.371747 5.889524
S1 -87.696000 84.988269 4.344408
S2 -87.696000 84.988269 7.434640
Mo -89.262000 84.084138 5.889524
S1 -89.262000 87.700660 4.344408
S2 -89.262000 87.700660 7.434640
Mo -90.828000 86.796530 5.889524
S1 -90.828000 90.413052 4.344408
S2 -90.828000 90.413052 7.434640
Mo -92.394000 89.508921 5.889524
S1 -92.394000 93.125443 4.344408
S2 -92.394000 93.125443 7.434640
Mo -93.960000 92.221313 5.889524
S1 -93.960000 95.837835 4.344408
S2 -93.960000 95.837835 7.434640
Mo -95.526000 94.933704 5.889524
S1 -95.526000 98.550226 4.344408
S2 -95.526000 98.550226 7.434640
Mo -97.092000 97.646096 5.889524
S1 -97.092000 101.262618 4.344408
S2 -97.092000 101.262618 7.434640
Mo -98.658000 100.358487 5.889524
S1 -98.658000 103.975010 4.344408
S2 -98.658000 103.975010 7.434640
Mo -100.224000 103.070879 5.889524
S1 -100.224000 106.687401 4.344408
S2 -100.224000 106.687401 7.434640
Mo -101.790000 105.783271 5.889524
S1 -101.790000 109.399793 4.344408
S2 -101.790000 109.399793 7.434640
Mo -103.356000 108.495662 5.889524
S1 -103.356000 112.112184 4.344408
S2 -103.356000 112.112184 7.434640
Mo -104.922000 111.208054 5.889524
S1 -104.922000 114.824576 4.344408
S2 -104.922000 114.824576 7.434640
S1 -50.112000 25.315654 4.344408
S2 -50.112000 25.315654 7.434640
S1 -51.678000 28.028046 4.344408
S2 -51.678000 28.028046 7.434640
Mo -53.244000 27.123916 5.889524
S1 -53.244000 30.740438 4.344408
S2 -53.244000 30.740438 7.434640
Mo -54.810000 29.836307 5.889524
S1 -54.810000 33.452829 4.344408
S2 -54.810000 33.452829 7.434640
Mo -56.376000 32.548699 5.889524
S1 -56.376000 36.165221 4.344408
S2 -56.376000 36.165221 7.434640
Mo -57.942000 35.261090 5.889524
S1 -57.942000 38.877612 4.344408
S2 -57.942000 38.877612 7.434640
Mo -59.508000 37.973482 5.889524
S1 -59.508000 41.590004 4.344408
S2 -59.508000 41.590004 7.434640
Mo -61.074000 40.685873 5.889524
S1 -61.074000 44.302395 4.344408
S2 -61.074000 44.302395 7.434640
Mo -62.640000 43.398265 5.889524
S1 -62.640000 47.014787 4.344408
S2 -62.640000 47.014787 7.434640
Mo -64.206000 46.110656 5.889524
S1 -64.206000 49.727178 4.344408
S2 -64.206000 49.727178 7.434640
Mo -65.772000 48.823048 5.889524
S1 -65.772000 52.439570 4.344408
S2 -65.772000 52.439570 7.434640
Mo -67.338000 51.535440 5.889524
S1 -67.338000 55.151962 4.344408
S2 -67.338000 55.151962 7.434640
Mo -68.904000 54.247831 5.889524
S1 -68.904000 57.864353 4.344408
S2 -68.904000 57.864353 7.434640
Mo -70.470000 56.960223 5.889524
S1 -70.470000 60.576745 4.344408
S2 -70.470000 60.576745 7.434640
Mo -72.036000 59.672614 5.889524
S1 -72.036000 63.289136 4.344408
S2 -72.036000 63.289136 7.434640
Mo -73.602000 62.385006 5.889524
S1 -73.602000 66.001528 4.344408
S2 -73.602000 66.001528 7.434640
Mo -75.168000 65.097397 5.889524
S1 -75.168000 68.713919 4.344408
S2 -75.168000 68.713919 7.434640
