Superlattice vectors (celldm1 units):
22.00000000000 0.00000000000 0.00000000000
0.00000000000 16.69376693767 0.00000000000
Layer 1 points (Angstrom):
P -2.98890000000 -3.77916000000 1.05932578400
P -1.32840000000 -2.22684000000 1.05932578400
P -2.98890000000 -0.37884000000 -1.05932578400
P -1.32840000000 -1.46916000000 -1.05932578400
P -2.98890000000 0.84084000000 1.05932578400
P -1.32840000000 2.39316000000 1.05932578400
P -2.98890000000 4.24116000000 -1.05932578400
P -1.32840000000 3.15084000000 -1.05932578400
P -2.98890000000 5.46084000000 1.05932578400
P -1.32840000000 7.01316000000 1.05932578400
P -2.98890000000 8.86116000000 -1.05932578400
P -1.32840000000 7.77084000000 -1.05932578400
P -2.98890000000 10.08084000000 1.05932578400
P -1.32840000000 11.63316000000 1.05932578400
P -2.98890000000 13.48116000000 -1.05932578400
P -1.32840000000 12.39084000000 -1.05932578400
P -2.98890000000 14.70084000000 1.05932578400
P -1.32840000000 16.25316000000 1.05932578400
P -2.98890000000 18.10116000000 -1.05932578400
P -1.32840000000 17.01084000000 -1.05932578400
P -2.98890000000 19.32084000000 1.05932578400
P -1.32840000000 20.87316000000 1.05932578400
P -2.98890000000 22.72116000000 -1.05932578400
P -1.32840000000 21.63084000000 -1.05932578400
P -2.98890000000 23.94084000000 1.05932578400
P -1.32840000000 25.49316000000 1.05932578400
P -2.98890000000 27.34116000000 -1.05932578400
P -1.32840000000 26.25084000000 -1.05932578400
P -2.98890000000 28.56084000000 1.05932578400
P -1.32840000000 30.11316000000 1.05932578400
P -2.98890000000 31.96116000000 -1.05932578400
P -1.32840000000 30.87084000000 -1.05932578400
P -2.98890000000 33.18084000000 1.05932578400
P -1.32840000000 34.73316000000 1.05932578400
P -2.98890000000 36.58116000000 -1.05932578400
P -1.32840000000 35.49084000000 -1.05932578400
P -2.98890000000 37.80084000000 1.05932578400
P -1.32840000000 39.35316000000 1.05932578400
P -2.98890000000 41.20116000000 -1.05932578400
P -1.32840000000 40.11084000000 -1.05932578400
P -2.98890000000 42.42084000000 1.05932578400
P -1.32840000000 43.97316000000 1.05932578400
P -2.98890000000 45.82116000000 -1.05932578400
P -1.32840000000 44.73084000000 -1.05932578400
P -2.98890000000 47.04084000000 1.05932578400
P -1.32840000000 48.59316000000 1.05932578400
P -2.98890000000 50.44116000000 -1.05932578400
P -1.32840000000 49.35084000000 -1.05932578400
P 0.33210000000 -3.77916000000 1.05932578400
P 1.99260000000 -2.22684000000 1.05932578400
P 0.33210000000 -0.37884000000 -1.05932578400
P 1.99260000000 -1.46916000000 -1.05932578400
P 0.33210000000 0.84084000000 1.05932578400
P 1.99260000000 2.39316000000 1.05932578400
P 0.33210000000 4.24116000000 -1.05932578400
P 1.99260000000 3.15084000000 -1.05932578400
P 0.33210000000 5.46084000000 1.05932578400
P 1.99260000000 7.01316000000 1.05932578400
P 0.33210000000 8.86116000000 -1.05932578400
P 1.99260000000 7.77084000000 -1.05932578400
P 0.33210000000 10.08084000000 1.05932578400
P 1.99260000000 11.63316000000 1.05932578400
P 0.33210000000 13.48116000000 -1.05932578400
P 1.99260000000 12.39084000000 -1.05932578400
P 0.33210000000 14.70084000000 1.05932578400
P 1.99260000000 16.25316000000 1.05932578400
P 0.33210000000 18.10116000000 -1.05932578400
P 1.99260000000 17.01084000000 -1.05932578400
P 0.33210000000 19.32084000000 1.05932578400
P 1.99260000000 20.87316000000 1.05932578400
P 0.33210000000 22.72116000000 -1.05932578400
P 1.99260000000 21.63084000000 -1.05932578400
P 0.33210000000 23.94084000000 1.05932578400
P 1.99260000000 25.49316000000 1.05932578400
P 0.33210000000 27.34116000000 -1.05932578400
P 1.99260000000 26.25084000000 -1.05932578400
P 0.33210000000 28.56084000000 1.05932578400
P 1.99260000000 30.11316000000 1.05932578400
P 0.33210000000 31.96116000000 -1.05932578400
P 1.99260000000 30.87084000000 -1.05932578400
P 0.33210000000 33.18084000000 1.05932578400
P 1.99260000000 34.73316000000 1.05932578400
P 0.33210000000 36.58116000000 -1.05932578400
P 1.99260000000 35.49084000000 -1.05932578400
P 0.33210000000 37.80084000000 1.05932578400
P 1.99260000000 39.35316000000 1.05932578400
P 0.33210000000 41.20116000000 -1.05932578400
P 1.99260000000 40.11084000000 -1.05932578400
P 0.33210000000 42.42084000000 1.05932578400
P 1.99260000000 43.97316000000 1.05932578400
P 0.33210000000 45.82116000000 -1.05932578400
P 1.99260000000 44.73084000000 -1.05932578400
P 0.33210000000 47.04084000000 1.05932578400
P 1.99260000000 48.59316000000 1.05932578400
P 0.33210000000 50.44116000000 -1.05932578400
P 1.99260000000 49.35084000000 -1.05932578400
P 3.65310000000 -3.77916000000 1.05932578400
P 5.31360000000 -2.22684000000 1.05932578400
P 3.65310000000 -0.37884000000 -1.05932578400
P 5.31360000000 -1.46916000000 -1.05932578400
P 3.65310000000 0.84084000000 1.05932578400
P 5.31360000000 2.39316000000 1.05932578400
P 3.65310000000 4.24116000000 -1.05932578400
P 5.31360000000 3.15084000000 -1.05932578400
P 3.65310000000 5.46084000000 1.05932578400
P 5.31360000000 7.01316000000 1.05932578400
P 3.65310000000 8.86116000000 -1.05932578400
P 5.31360000000 7.77084000000 -1.05932578400
P 3.65310000000 10.08084000000 1.05932578400
P 5.31360000000 11.63316000000 1.05932578400
P 3.65310000000 13.48116000000 -1.05932578400
P 5.31360000000 12.39084000000 -1.05932578400
P 3.65310000000 14.70084000000 1.05932578400
P 5.31360000000 16.25316000000 1.05932578400
P 3.65310000000 18.10116000000 -1.05932578400
P 5.31360000000 17.01084000000 -1.05932578400
P 3.65310000000 19.32084000000 1.05932578400
P 5.31360000000 20.87316000000 1.05932578400
P 3.65310000000 22.72116000000 -1.05932578400
P 5.31360000000 21.63084000000 -1.05932578400
P 3.65310000000 23.94084000000 1.05932578400
P 5.31360000000 25.49316000000 1.05932578400
P 3.65310000000 27.34116000000 -1.05932578400
P 5.31360000000 26.25084000000 -1.05932578400
P 3.65310000000 28.56084000000 1.05932578400
P 5.31360000000 30.11316000000 1.05932578400
P 3.65310000000 31.96116000000 -1.05932578400
P 5.31360000000 30.87084000000 -1.05932578400
P 3.65310000000 33.18084000000 1.05932578400
P 5.31360000000 34.73316000000 1.05932578400
P 3.65310000000 36.58116000000 -1.05932578400
P 5.31360000000 35.49084000000 -1.05932578400
P 3.65310000000 37.80084000000 1.05932578400
P 5.31360000000 39.35316000000 1.05932578400
P 3.65310000000 41.20116000000 -1.05932578400
P 5.31360000000 40.11084000000 -1.05932578400
P 3.65310000000 42.42084000000 1.05932578400
P 5.31360000000 43.97316000000 1.05932578400
P 3.65310000000 45.82116000000 -1.05932578400
P 5.31360000000 44.73084000000 -1.05932578400
P 3.65310000000 47.04084000000 1.05932578400
P 5.31360000000 48.59316000000 1.05932578400
P 3.65310000000 50.44116000000 -1.05932578400
P 5.31360000000 49.35084000000 -1.05932578400
P 6.97410000000 -3.77916000000 1.05932578400
P 8.63460000000 -2.22684000000 1.05932578400
P 6.97410000000 -0.37884000000 -1.05932578400
P 8.63460000000 -1.46916000000 -1.05932578400
P 6.97410000000 0.84084000000 1.05932578400
P 8.63460000000 2.39316000000 1.05932578400
P 6.97410000000 4.24116000000 -1.05932578400
P 8.63460000000 3.15084000000 -1.05932578400
P 6.97410000000 5.46084000000 1.05932578400
P 8.63460000000 7.01316000000 1.05932578400
P 6.97410000000 8.86116000000 -1.05932578400
P 8.63460000000 7.77084000000 -1.05932578400
P 6.97410000000 10.08084000000 1.05932578400
P 8.63460000000 11.63316000000 1.05932578400
P 6.97410000000 13.48116000000 -1.05932578400
