Superlattice vectors (celldm1 units):
-0.500000 6.062178 0.000000
-5.500000 2.598076 0.000000
Layer 1 points (Angstrom):
C -13.530000 4.970986 0.000000
C -14.760000 7.101408 0.000000
C -9.840000 2.840563 0.000000
C -11.070000 4.970986 0.000000
C -12.300000 4.260845 0.000000
C -12.300000 7.101408 0.000000
C -13.530000 6.391267 0.000000
C -13.530000 9.231831 0.000000
C -14.760000 8.521690 0.000000
C -14.760000 11.362253 0.000000
C -15.990000 10.652112 0.000000
C -15.990000 13.492676 0.000000
C -6.150000 0.710141 0.000000
C -7.380000 2.840563 0.000000
C -8.610000 2.130422 0.000000
C -8.610000 4.970986 0.000000
C -9.840000 4.260845 0.000000
C -9.840000 7.101408 0.000000
C -11.070000 6.391267 0.000000
C -11.070000 9.231831 0.000000
C -12.300000 8.521690 0.000000
C -12.300000 11.362253 0.000000
C -13.530000 10.652112 0.000000
C -13.530000 13.492676 0.000000
C -14.760000 12.782535 0.000000
C -14.760000 15.623098 0.000000
C -15.990000 14.912957 0.000000
C -15.990000 17.753521 0.000000
C -3.690000 0.710141 0.000000
C -4.920000 0.000000 0.000000
C -4.920000 2.840563 0.000000
C -6.150000 2.130422 0.000000
C -6.150000 4.970986 0.000000
C -7.380000 4.260845 0.000000
C -7.380000 7.101408 0.000000
C -8.610000 6.391267 0.000000
C -8.610000 9.231831 0.000000
C -9.840000 8.521690 0.000000
C -9.840000 11.362253 0.000000
C -11.070000 10.652112 0.000000
C -11.070000 13.492676 0.000000
C -12.300000 12.782535 0.000000
C -12.300000 15.623098 0.000000
C -13.530000 14.912957 0.000000
C -13.530000 17.753521 0.000000
C -14.760000 17.043380 0.000000
C -15.990000 19.173802 0.000000
C -2.460000 0.000000 0.000000
C -2.460000 2.840563 0.000000
C -3.690000 2.130422 0.000000
C -3.690000 4.970986 0.000000
C -4.920000 4.260845 0.000000
C -4.920000 7.101408 0.000000
C -6.150000 6.391267 0.000000
C -6.150000 9.231831 0.000000
C -7.380000 8.521690 0.000000
C -7.380000 11.362253 0.000000
C -8.610000 10.652112 0.000000
C -8.610000 13.492676 0.000000
C -9.840000 12.782535 0.000000
C -9.840000 15.623098 0.000000
C -11.070000 14.912957 0.000000
C -12.300000 17.043380 0.000000
C -3.690000 6.391267 0.000000
C -3.690000 9.231831 0.000000
C -4.920000 8.521690 0.000000
C -4.920000 11.362253 0.000000
C -6.150000 10.652112 0.000000
C -6.150000 13.492676 0.000000
C -7.380000 12.782535 0.000000
C -8.610000 14.912957 0.000000
C -3.690000 10.652112 0.000000
C -3.690000 13.492676 0.000000
C -4.920000 12.782535 0.000000
Number of points in layer 1: 74
Layer 2 points (Angstrom):
C -13.297299 4.990175 3.300000
C -14.859732 6.890281 3.300000
C -7.745676 1.593016 3.300000
C -9.308109 3.493122 3.300000
C -10.405136 2.591051 3.300000
C -10.870542 5.393228 3.300000
C -11.967569 4.491157 3.300000
C -12.432975 7.293334 3.300000
C -13.530002 6.391263 3.300000
C -13.995408 9.193440 3.300000
C -15.092435 8.291369 3.300000
C -15.557841 11.093546 3.300000
C -3.756487 0.095964 3.300000
C -5.318920 1.996070 3.300000
C -6.415946 1.093999 3.300000
C -6.881353 3.896176 3.300000
C -7.978379 2.994105 3.300000
C -8.443786 5.796282 3.300000
C -9.540812 4.894211 3.300000
C -10.006219 7.696388 3.300000
C -11.103245 6.794317 3.300000
C -11.568652 9.596494 3.300000
C -12.665678 8.694423 3.300000
C -13.131085 11.496600 3.300000
C -14.228111 10.594529 3.300000
C -14.693518 13.396706 3.300000
C -15.790544 12.494635 3.300000
C -16.255951 15.296812 3.300000
C -2.426757 -0.403054 3.300000
C -2.892163 2.399124 3.300000
C -3.989190 1.497052 3.300000
C -4.454596 4.299230 3.300000
C -5.551623 3.397158 3.300000
C -6.017029 6.199336 3.300000
C -7.114056 5.297264 3.300000
C -7.579462 8.099442 3.300000
C -8.676489 7.197371 3.300000
C -9.141895 9.999548 3.300000
C -10.238922 9.097477 3.300000
C -10.704328 11.899654 3.300000
C -11.801355 10.997583 3.300000
C -12.266761 13.799760 3.300000
C -13.363788 12.897689 3.300000
C -13.829194 15.699866 3.300000
C -14.926221 14.797795 3.300000
C -15.391627 17.599972 3.300000
C -16.488654 16.697901 3.300000
C -3.124866 3.800212 3.300000
C -3.590272 6.602389 3.300000
C -4.687299 5.700318 3.300000
C -5.152705 8.502495 3.300000
C -6.249732 7.600424 3.300000
C -6.715138 10.402601 3.300000
C -7.812165 9.500530 3.300000
C -8.277571 12.302707 3.300000
C -9.374598 11.400636 3.300000
C -9.840004 14.202813 3.300000
C -10.937031 13.300742 3.300000
C -11.402437 16.102920 3.300000
C -12.499464 15.200848 3.300000
C -12.964870 18.003026 3.300000
C -14.061897 17.100954 3.300000
C -15.624330 19.001060 3.300000
C -3.822975 8.003478 3.300000
C -4.288382 10.805655 3.300000
C -5.385409 9.903584 3.300000
C -5.850815 12.705761 3.300000
C -6.947842 11.803690 3.300000
C -7.413248 14.605867 3.300000
C -8.510275 13.703796 3.300000
C -10.072708 15.603902 3.300000
C -3.424058 13.108815 3.300000
C -4.521085 12.206744 3.300000
C -6.083518 14.106850 3.300000
Number of points in layer 2: 74

Total number of atoms: 148
