Superlattice vectors (celldm1_l units):
8.00000000000 -1.73205080000 0.00000000000
2.50000000000 -7.79422860000 -0.00000000000
Layer 1 points (Angstrom):
S 7.89211957250 -26.42780057418 5.31045680000
S 7.89211957250 -26.42780057418 3.10314865000
S 6.31369565800 -23.69389017034 5.31045680000
S 6.31369565800 -23.69389017034 3.10314865000
S 4.73527174350 -20.95997976649 5.31045680000
S 4.73527174350 -20.95997976649 3.10314865000
S 3.15684782900 -18.22606936264 5.31045680000
S 3.15684782900 -18.22606936264 3.10314865000
S 11.04896740150 -26.42780057418 5.31045680000
S 11.04896740150 -26.42780057418 3.10314865000
Mo 9.47054348700 -27.33910403849 4.20680272500
S 9.47054348700 -23.69389017034 5.31045680000
S 9.47054348700 -23.69389017034 3.10314865000
Mo 7.89211957250 -24.60519363464 4.20680272500
S 7.89211957250 -20.95997976649 5.31045680000
S 7.89211957250 -20.95997976649 3.10314865000
Mo 6.31369565800 -21.87128323079 4.20680272500
S 6.31369565800 -18.22606936264 5.31045680000
S 6.31369565800 -18.22606936264 3.10314865000
Mo 4.73527174350 -19.13737282694 4.20680272500
S 4.73527174350 -15.49215895879 5.31045680000
S 4.73527174350 -15.49215895879 3.10314865000
Mo 3.15684782900 -16.40346242309 4.20680272500
S 3.15684782900 -12.75824855494 5.31045680000
S 3.15684782900 -12.75824855494 3.10314865000
Mo 1.57842391450 -13.66955201924 4.20680272500
S 1.57842391450 -10.02433815109 5.31045680000
S 1.57842391450 -10.02433815109 3.10314865000
S 0.00000000000 -7.29042774724 5.31045680000
S 0.00000000000 -7.29042774724 3.10314865000
S 14.20581523050 -26.42780057418 5.31045680000
S 14.20581523050 -26.42780057418 3.10314865000
Mo 12.62739131600 -27.33910403849 4.20680272500
S 12.62739131600 -23.69389017034 5.31045680000
S 12.62739131600 -23.69389017034 3.10314865000
Mo 11.04896740150 -24.60519363464 4.20680272500
S 11.04896740150 -20.95997976649 5.31045680000
S 11.04896740150 -20.95997976649 3.10314865000
Mo 9.47054348700 -21.87128323079 4.20680272500
S 9.47054348700 -18.22606936264 5.31045680000
S 9.47054348700 -18.22606936264 3.10314865000
Mo 7.89211957250 -19.13737282694 4.20680272500
S 7.89211957250 -15.49215895879 5.31045680000
S 7.89211957250 -15.49215895879 3.10314865000
Mo 6.31369565800 -16.40346242309 4.20680272500
S 6.31369565800 -12.75824855494 5.31045680000
S 6.31369565800 -12.75824855494 3.10314865000
Mo 4.73527174350 -13.66955201924 4.20680272500
S 4.73527174350 -10.02433815109 5.31045680000
S 4.73527174350 -10.02433815109 3.10314865000
Mo 3.15684782900 -10.93564161540 4.20680272500
S 3.15684782900 -7.29042774724 5.31045680000
S 3.15684782900 -7.29042774724 3.10314865000
Mo 1.57842391450 -8.20173121155 4.20680272500
S 1.57842391450 -4.55651734339 5.31045680000
S 1.57842391450 -4.55651734339 3.10314865000
Mo 0.00000000000 -5.46782080770 4.20680272500
Mo -1.57842391450 -2.73391040385 4.20680272500
S 18.94108697400 -29.16171097803 5.31045680000
S 18.94108697400 -29.16171097803 3.10314865000
S 17.36266305950 -26.42780057418 5.31045680000
S 17.36266305950 -26.42780057418 3.10314865000
Mo 15.78423914500 -27.33910403849 4.20680272500
S 15.78423914500 -23.69389017034 5.31045680000
S 15.78423914500 -23.69389017034 3.10314865000
Mo 14.20581523050 -24.60519363464 4.20680272500
S 14.20581523050 -20.95997976649 5.31045680000
S 14.20581523050 -20.95997976649 3.10314865000
Mo 12.62739131600 -21.87128323079 4.20680272500
S 12.62739131600 -18.22606936264 5.31045680000
S 12.62739131600 -18.22606936264 3.10314865000
Mo 11.04896740150 -19.13737282694 4.20680272500
S 11.04896740150 -15.49215895879 5.31045680000
S 11.04896740150 -15.49215895879 3.10314865000
Mo 9.47054348700 -16.40346242309 4.20680272500
S 9.47054348700 -12.75824855494 5.31045680000
S 9.47054348700 -12.75824855494 3.10314865000
Mo 7.89211957250 -13.66955201924 4.20680272500
S 7.89211957250 -10.02433815109 5.31045680000
S 7.89211957250 -10.02433815109 3.10314865000
Mo 6.31369565800 -10.93564161540 4.20680272500
S 6.31369565800 -7.29042774724 5.31045680000
S 6.31369565800 -7.29042774724 3.10314865000
Mo 4.73527174350 -8.20173121155 4.20680272500
S 4.73527174350 -4.55651734339 5.31045680000
S 4.73527174350 -4.55651734339 3.10314865000
Mo 3.15684782900 -5.46782080770 4.20680272500
S 22.09793480300 -29.16171097803 5.31045680000
S 22.09793480300 -29.16171097803 3.10314865000
Mo 20.51951088850 -30.07301444234 4.20680272500
S 20.51951088850 -26.42780057418 5.31045680000
S 20.51951088850 -26.42780057418 3.10314865000
Mo 18.94108697400 -27.33910403849 4.20680272500
S 18.94108697400 -23.69389017034 5.31045680000
S 18.94108697400 -23.69389017034 3.10314865000
Mo 17.36266305950 -24.60519363464 4.20680272500
S 17.36266305950 -20.95997976649 5.31045680000
S 17.36266305950 -20.95997976649 3.10314865000
Mo 15.78423914500 -21.87128323079 4.20680272500
S 15.78423914500 -18.22606936264 5.31045680000
S 15.78423914500 -18.22606936264 3.10314865000
Mo 14.20581523050 -19.13737282694 4.20680272500
S 14.20581523050 -15.49215895879 5.31045680000
S 14.20581523050 -15.49215895879 3.10314865000
Mo 12.62739131600 -16.40346242309 4.20680272500
S 12.62739131600 -12.75824855494 5.31045680000
S 12.62739131600 -12.75824855494 3.10314865000
Mo 11.04896740150 -13.66955201924 4.20680272500
S 11.04896740150 -10.02433815109 5.31045680000
S 11.04896740150 -10.02433815109 3.10314865000
Mo 9.47054348700 -10.93564161540 4.20680272500
