Superlattice vectors (celldm1 units):
S2 -32.718000 44.076074 7.434640
Mo -34.276000 43.176562 5.889524
S1 -34.276000 46.774609 4.344408
S2 -34.276000 46.774609 7.434640
S1 -4.674000 0.899512 4.344408
S2 -4.674000 0.899512 7.434640
S1 -6.232000 3.598047 4.344408
S2 -6.232000 3.598047 7.434640
Mo -7.790000 2.698535 5.889524
S1 -7.790000 6.296582 4.344408
S2 -7.790000 6.296582 7.434640
Mo -9.348000 5.397070 5.889524
S1 -9.348000 8.995117 4.344408
S2 -9.348000 8.995117 7.434640
Mo -10.906000 8.095605 5.889524
S1 -10.906000 11.693652 4.344408
S2 -10.906000 11.693652 7.434640
Mo -12.464000 10.794141 5.889524
S1 -12.464000 14.392187 4.344408
S2 -12.464000 14.392187 7.434640
Mo -14.022000 13.492676 5.889524
S1 -14.022000 17.090723 4.344408
S2 -14.022000 17.090723 7.434640
Mo -15.580000 16.191211 5.889524
S1 -15.580000 19.789258 4.344408
S2 -15.580000 19.789258 7.434640
Mo -17.138000 18.889746 5.889524
S1 -17.138000 22.487793 4.344408
S2 -17.138000 22.487793 7.434640
Mo -18.696000 21.588281 5.889524
S1 -18.696000 25.186328 4.344408
S2 -18.696000 25.186328 7.434640
Mo -20.254000 24.286816 5.889524
S1 -20.254000 27.884863 4.344408
S2 -20.254000 27.884863 7.434640
Mo -21.812000 26.985351 5.889524
S1 -21.812000 30.583398 4.344408
S2 -21.812000 30.583398 7.434640
Mo -23.370000 29.683887 5.889524
S1 -23.370000 33.281933 4.344408
S2 -23.370000 33.281933 7.434640
Mo -24.928000 32.382422 5.889524
S1 -24.928000 35.980469 4.344408
S2 -24.928000 35.980469 7.434640
Mo -26.486000 35.080957 5.889524
S1 -26.486000 38.679004 4.344408
S2 -26.486000 38.679004 7.434640
Mo -28.044000 37.779492 5.889524
S1 -28.044000 41.377539 4.344408
S2 -28.044000 41.377539 7.434640
Mo -29.602000 40.478027 5.889524
S1 -29.602000 44.076074 4.344408
S2 -29.602000 44.076074 7.434640
Mo -31.160000 43.176562 5.889524
S1 -31.160000 46.774609 4.344408
S2 -31.160000 46.774609 7.434640
Mo -32.718000 45.875097 5.889524
Mo -34.276000 48.573633 5.889524
Mo -3.116000 0.000000 5.889524
S1 -3.116000 3.598047 4.344408
S2 -3.116000 3.598047 7.434640
Mo -4.674000 2.698535 5.889524
S1 -4.674000 6.296582 4.344408
S2 -4.674000 6.296582 7.434640
Mo -6.232000 5.397070 5.889524
S1 -6.232000 8.995117 4.344408
S2 -6.232000 8.995117 7.434640
Mo -7.790000 8.095605 5.889524
S1 -7.790000 11.693652 4.344408
S2 -7.790000 11.693652 7.434640
Mo -9.348000 10.794141 5.889524
S1 -9.348000 14.392187 4.344408
S2 -9.348000 14.392187 7.434640
Mo -10.906000 13.492676 5.889524
S1 -10.906000 17.090723 4.344408
S2 -10.906000 17.090723 7.434640
Mo -12.464000 16.191211 5.889524
S1 -12.464000 19.789258 4.344408
S2 -12.464000 19.789258 7.434640
Mo -14.022000 18.889746 5.889524
S1 -14.022000 22.487793 4.344408
S2 -14.022000 22.487793 7.434640
Mo -15.580000 21.588281 5.889524
S1 -15.580000 25.186328 4.344408
S2 -15.580000 25.186328 7.434640
Mo -17.138000 24.286816 5.889524
S1 -17.138000 27.884863 4.344408
S2 -17.138000 27.884863 7.434640
Mo -18.696000 26.985351 5.889524
S1 -18.696000 30.583398 4.344408
S2 -18.696000 30.583398 7.434640
