Superlattice vectors (celldm1 units):
-0.500000 7.794229 0.000000
-7.000000 3.464102 0.000000
Layer 1 points (Angstrom):
S1 -21.812000 8.995117 4.344408
S2 -21.812000 8.995117 7.434640
S1 -23.370000 11.693652 4.344408
S2 -23.370000 11.693652 7.434640
S1 -17.138000 6.296582 4.344408
S2 -17.138000 6.296582 7.434640
S1 -18.696000 8.995117 4.344408
S2 -18.696000 8.995117 7.434640
Mo -20.254000 8.095605 5.889524
S1 -20.254000 11.693652 4.344408
S2 -20.254000 11.693652 7.434640
Mo -21.812000 10.794141 5.889524
S1 -21.812000 14.392187 4.344408
S2 -21.812000 14.392187 7.434640
Mo -23.370000 13.492676 5.889524
S1 -23.370000 17.090723 4.344408
S2 -23.370000 17.090723 7.434640
S1 -24.928000 19.789258 4.344408
S2 -24.928000 19.789258 7.434640
S1 -12.464000 3.598047 4.344408
S2 -12.464000 3.598047 7.434640
S1 -14.022000 6.296582 4.344408
S2 -14.022000 6.296582 7.434640
Mo -15.580000 5.397070 5.889524
S1 -15.580000 8.995117 4.344408
S2 -15.580000 8.995117 7.434640
Mo -17.138000 8.095605 5.889524
S1 -17.138000 11.693652 4.344408
S2 -17.138000 11.693652 7.434640
Mo -18.696000 10.794141 5.889524
S1 -18.696000 14.392187 4.344408
S2 -18.696000 14.392187 7.434640
Mo -20.254000 13.492676 5.889524
S1 -20.254000 17.090723 4.344408
S2 -20.254000 17.090723 7.434640
Mo -21.812000 16.191211 5.889524
S1 -21.812000 19.789258 4.344408
S2 -21.812000 19.789258 7.434640
Mo -23.370000 18.889746 5.889524
S1 -23.370000 22.487793 4.344408
S2 -23.370000 22.487793 7.434640
Mo -24.928000 21.588281 5.889524
S1 -24.928000 25.186328 4.344408
S2 -24.928000 25.186328 7.434640
S1 -7.790000 0.899512 4.344408
S2 -7.790000 0.899512 7.434640
S1 -9.348000 3.598047 4.344408
S2 -9.348000 3.598047 7.434640
Mo -10.906000 2.698535 5.889524
S1 -10.906000 6.296582 4.344408
S2 -10.906000 6.296582 7.434640
Mo -12.464000 5.397070 5.889524
S1 -12.464000 8.995117 4.344408
S2 -12.464000 8.995117 7.434640
Mo -14.022000 8.095605 5.889524
S1 -14.022000 11.693652 4.344408
S2 -14.022000 11.693652 7.434640
Mo -15.580000 10.794141 5.889524
S1 -15.580000 14.392187 4.344408
S2 -15.580000 14.392187 7.434640
Mo -17.138000 13.492676 5.889524
S1 -17.138000 17.090723 4.344408
S2 -17.138000 17.090723 7.434640
Mo -18.696000 16.191211 5.889524
S1 -18.696000 19.789258 4.344408
S2 -18.696000 19.789258 7.434640
Mo -20.254000 18.889746 5.889524
S1 -20.254000 22.487793 4.344408
S2 -20.254000 22.487793 7.434640
Mo -21.812000 21.588281 5.889524
S1 -21.812000 25.186328 4.344408
S2 -21.812000 25.186328 7.434640
Mo -23.370000 24.286816 5.889524
S1 -23.370000 27.884863 4.344408
S2 -23.370000 27.884863 7.434640
Mo -24.928000 26.985351 5.889524
S1 -24.928000 30.583398 4.344408
S2 -24.928000 30.583398 7.434640
S1 -4.674000 0.899512 4.344408
S2 -4.674000 0.899512 7.434640
S1 -6.232000 3.598047 4.344408
S2 -6.232000 3.598047 7.434640
Mo -7.790000 2.698535 5.889524
S1 -7.790000 6.296582 4.344408
S2 -7.790000 6.296582 7.434640
Mo -9.348000 5.397070 5.889524
