Superlattice vectors (celldm1 units):
S2 -9.475310 -7.294115 7.548172
Mo -11.054528 -8.205881 5.979461
S1 -11.054525 -4.558835 4.410750
S2 -11.054525 -4.558835 7.548172
Mo -12.633743 -5.470600 5.979461
S1 -12.633740 -1.823554 4.410750
S2 -12.633740 -1.823554 7.548172
Mo -14.212958 -2.735320 5.979461
S1 -7.896090 -4.558827 4.410750
S2 -7.896090 -4.558827 7.548172
Mo -9.475308 -5.470592 5.979461
S1 -9.475305 -1.823546 4.410750
S2 -9.475305 -1.823546 7.548172
Mo -11.054523 -2.735312 5.979461
Mo -7.896089 -2.735304 5.979461
Number of points in layer 1: 171
Layer 2 points (Angstrom):
Se1 -39.361780 -17.698445 10.610750
Se2 -39.361780 -17.698445 13.748172
Mo -41.125628 -16.967815 12.179461
Mo -35.834084 -19.159704 12.179461
Se1 -36.083264 -17.266852 10.610750
Se2 -36.083264 -17.266852 13.748172
Mo -37.847112 -16.536223 12.179461
Se1 -38.096292 -14.643370 10.610750
Se2 -38.096292 -14.643370 13.748172
Se1 -30.791720 -19.458742 10.610750
Se2 -30.791720 -19.458742 13.748172
Mo -32.555568 -18.728112 12.179461
Se1 -32.804748 -16.835260 10.610750
Se2 -32.804748 -16.835260 13.748172
Mo -34.568596 -16.104630 12.179461
Se1 -34.817776 -14.211778 10.610750
Se2 -34.817776 -14.211778 13.748172
Mo -36.581624 -13.481148 12.179461
Se1 -36.830804 -11.588296 10.610750
Se2 -36.830804 -11.588296 13.748172
Se1 -27.513204 -19.027149 10.610750
Se2 -27.513204 -19.027149 13.748172
Mo -29.277052 -18.296519 12.179461
Se1 -29.526232 -16.403667 10.610750
Se2 -29.526232 -16.403667 13.748172
Mo -31.290080 -15.673038 12.179461
Se1 -31.539260 -13.780185 10.610750
Se2 -31.539260 -13.780185 13.748172
Mo -33.303108 -13.049556 12.179461
Se1 -33.552288 -11.156704 10.610750
Se2 -33.552288 -11.156704 13.748172
Mo -35.316136 -10.426074 12.179461
Mo -23.985508 -20.488409 12.179461
Se1 -24.234688 -18.595557 10.610750
Se2 -24.234688 -18.595557 13.748172
Mo -25.998536 -17.864927 12.179461
Se1 -26.247716 -15.972075 10.610750
Se2 -26.247716 -15.972075 13.748172
Mo -28.011564 -15.241445 12.179461
Se1 -28.260744 -13.348593 10.610750
Se2 -28.260744 -13.348593 13.748172
Mo -30.024592 -12.617963 12.179461
Se1 -30.273772 -10.725111 10.610750
Se2 -30.273772 -10.725111 13.748172
Mo -32.037620 -9.994481 12.179461
Se1 -32.286800 -8.101629 10.610750
Se2 -32.286800 -8.101629 13.748172
Mo -34.050648 -7.370999 12.179461
Se1 -18.943144 -20.787446 10.610750
Se2 -18.943144 -20.787446 13.748172
Mo -20.706992 -20.056816 12.179461
Se1 -20.956172 -18.163964 10.610750
Se2 -20.956172 -18.163964 13.748172
Mo -22.720020 -17.433334 12.179461
Se1 -22.969200 -15.540482 10.610750
Se2 -22.969200 -15.540482 13.748172
Mo -24.733048 -14.809853 12.179461
Se1 -24.982228 -12.917000 10.610750
Se2 -24.982228 -12.917000 13.748172
Mo -26.746076 -12.186371 12.179461
Se1 -26.995256 -10.293519 10.610750
Se2 -26.995256 -10.293519 13.748172
Mo -28.759104 -9.562889 12.179461
Se1 -29.008284 -7.670037 10.610750
Se2 -29.008284 -7.670037 13.748172
Mo -30.772132 -6.939407 12.179461
Se1 -31.021312 -5.046555 10.610750
Se2 -31.021312 -5.046555 13.748172
Se1 -17.677656 -17.732372 10.610750
Se2 -17.677656 -17.732372 13.748172
Mo -19.441504 -17.001742 12.179461
Se1 -19.690684 -15.108890 10.610750
Se2 -19.690684 -15.108890 13.748172
Mo -21.454532 -14.378260 12.179461
Se1 -21.703712 -12.485408 10.610750
Se2 -21.703712 -12.485408 13.748172
Mo -23.467560 -11.754778 12.179461
Se1 -23.716740 -9.861926 10.610750
Se2 -23.716740 -9.861926 13.748172
Mo -25.480588 -9.131296 12.179461
Se1 -25.729768 -7.238444 10.610750
Se2 -25.729768 -7.238444 13.748172
Mo -27.493616 -6.507814 12.179461
Se1 -27.742796 -4.614962 10.610750
Se2 -27.742796 -4.614962 13.748172
Mo -29.506644 -3.884332 12.179461
Se1 -29.755824 -1.991480 10.610750
Se2 -29.755824 -1.991480 13.748172
Mo -16.162988 -16.570150 12.179461
Se1 -16.412168 -14.677297 10.610750
Se2 -16.412168 -14.677297 13.748172
Mo -18.176016 -13.946668 12.179461
Se1 -18.425196 -12.053815 10.610750
Se2 -18.425196 -12.053815 13.748172
Mo -20.189044 -11.323186 12.179461
Se1 -20.438224 -9.430334 10.610750
Se2 -20.438224 -9.430334 13.748172
Mo -22.202072 -8.699704 12.179461
Se1 -22.451252 -6.806852 10.610750
Se2 -22.451252 -6.806852 13.748172
Mo -24.215100 -6.076222 12.179461
Se1 -24.464280 -4.183370 10.610750
Se2 -24.464280 -4.183370 13.748172
Mo -26.228128 -3.452740 12.179461
Se1 -26.477308 -1.559888 10.610750
Se2 -26.477308 -1.559888 13.748172
Mo -28.241156 -0.829258 12.179461
Mo -14.897500 -13.515075 12.179461
Se1 -15.146680 -11.622223 10.610750
Se2 -15.146680 -11.622223 13.748172
Mo -16.910528 -10.891593 12.179461
Se1 -17.159708 -8.998741 10.610750
Se2 -17.159708 -8.998741 13.748172
Mo -18.923556 -8.268111 12.179461
Se1 -19.172736 -6.375259 10.610750
Se2 -19.172736 -6.375259 13.748172
Mo -20.936584 -5.644629 12.179461
Se1 -21.185764 -3.751777 10.610750
Se2 -21.185764 -3.751777 13.748172
Mo -22.949612 -3.021147 12.179461
Se1 -23.198792 -1.128295 10.610750
Se2 -23.198792 -1.128295 13.748172
Mo -24.962640 -0.397666 12.179461
Se1 -11.868164 -11.190631 10.610750
Se2 -11.868164 -11.190631 13.748172
Mo -13.632012 -10.460001 12.179461
Se1 -13.881192 -8.567149 10.610750
Se2 -13.881192 -8.567149 13.748172
Mo -15.645040 -7.836519 12.179461
Se1 -15.894220 -5.943667 10.610750
Se2 -15.894220 -5.943667 13.748172
Mo -17.658068 -5.213037 12.179461
Se1 -17.907248 -3.320185 10.610750
Se2 -17.907248 -3.320185 13.748172
Mo -19.671096 -2.589555 12.179461
Se1 -19.920276 -0.696703 10.610750
Se2 -19.920276 -0.696703 13.748172
Se1 -10.602676 -8.135556 10.610750
Se2 -10.602676 -8.135556 13.748172
Mo -12.366524 -7.404926 12.179461
Se1 -12.615704 -5.512074 10.610750
Se2 -12.615704 -5.512074 13.748172
Mo -14.379552 -4.781444 12.179461
Se1 -14.628732 -2.888592 10.610750
Se2 -14.628732 -2.888592 13.748172
Mo -16.392580 -2.157962 12.179461
Mo -9.088008 -6.973334 12.179461
Se1 -9.337188 -5.080482 10.610750
Se2 -9.337188 -5.080482 13.748172
Mo -11.101036 -4.349852 12.179461
Se1 -11.350216 -2.457000 10.610750
Se2 -11.350216 -2.457000 13.748172
Mo -13.114064 -1.726370 12.179461
Mo -7.822520 -3.918259 12.179461
Se1 -8.071700 -2.025407 10.610750
Se2 -8.071700 -2.025407 13.748172
Number of points in layer 2: 156

Total number of atoms: 327
