Superlattice vectors (celldm1_l units):
-17.50000000000 4.33012700000 0.00000000000
-1.00000000000 3.46410160000 0.00000000000
Layer 1 points (Angstrom):
S -55.43553170750 11.88783848731 5.31045680000
S -55.43553170750 11.88783848731 3.10314865000
S -57.01940404200 14.63118583137 5.31045680000
S -57.01940404200 14.63118583137 3.10314865000
S -58.60327637650 17.37453317544 5.31045680000
S -58.60327637650 17.37453317544 3.10314865000
S -52.26778703850 11.88783848731 5.31045680000
S -52.26778703850 11.88783848731 3.10314865000
Mo -53.85165937300 10.97338937627 4.20680272500
S -53.85165937300 14.63118583137 5.31045680000
S -53.85165937300 14.63118583137 3.10314865000
Mo -55.43553170750 13.71673672034 4.20680272500
S -55.43553170750 17.37453317544 5.31045680000
S -55.43553170750 17.37453317544 3.10314865000
Mo -57.01940404200 16.46008406441 4.20680272500
S -57.01940404200 20.11788051951 5.31045680000
S -57.01940404200 20.11788051951 3.10314865000
Mo -58.60327637650 19.20343140848 4.20680272500
Mo -60.18714871100 21.94677875255 4.20680272500
S -47.51617003500 9.14449114324 5.31045680000
S -47.51617003500 9.14449114324 3.10314865000
S -49.10004236950 11.88783848731 5.31045680000
S -49.10004236950 11.88783848731 3.10314865000
Mo -50.68391470400 10.97338937627 4.20680272500
S -50.68391470400 14.63118583137 5.31045680000
S -50.68391470400 14.63118583137 3.10314865000
Mo -52.26778703850 13.71673672034 4.20680272500
S -52.26778703850 17.37453317544 5.31045680000
S -52.26778703850 17.37453317544 3.10314865000
Mo -53.85165937300 16.46008406441 4.20680272500
S -53.85165937300 20.11788051951 5.31045680000
S -53.85165937300 20.11788051951 3.10314865000
Mo -55.43553170750 19.20343140848 4.20680272500
S -44.34842536600 9.14449114324 5.31045680000
S -44.34842536600 9.14449114324 3.10314865000
S -45.93229770050 11.88783848731 5.31045680000
S -45.93229770050 11.88783848731 3.10314865000
Mo -47.51617003500 10.97338937627 4.20680272500
S -47.51617003500 14.63118583137 5.31045680000
S -47.51617003500 14.63118583137 3.10314865000
Mo -49.10004236950 13.71673672034 4.20680272500
S -49.10004236950 17.37453317544 5.31045680000
S -49.10004236950 17.37453317544 3.10314865000
Mo -50.68391470400 16.46008406441 4.20680272500
Mo -52.26778703850 19.20343140848 4.20680272500
S -41.18068069700 9.14449114324 5.31045680000
S -41.18068069700 9.14449114324 3.10314865000
Mo -42.76455303150 8.23004203221 4.20680272500
S -42.76455303150 11.88783848731 5.31045680000
S -42.76455303150 11.88783848731 3.10314865000
Mo -44.34842536600 10.97338937627 4.20680272500
S -44.34842536600 14.63118583137 5.31045680000
S -44.34842536600 14.63118583137 3.10314865000
Mo -45.93229770050 13.71673672034 4.20680272500
S -45.93229770050 17.37453317544 5.31045680000
S -45.93229770050 17.37453317544 3.10314865000
Mo -47.51617003500 16.46008406441 4.20680272500
Mo -49.10004236950 19.20343140848 4.20680272500
