Superlattice vectors (celldm1_l units):
0.00000000000 -20.86720867209 0.00000000000
28.00000000000 0.00000000000 0.00000000000
Layer 1 points (Angstrom):
P -2.98889966790 -73.07916000000 0.60188965000
P -1.32839966790 -71.52684000000 0.60188965000
P -2.98889966790 -69.67884000000 -0.60188965000
P -1.32839966790 -70.76916000000 -0.60188965000
P -2.98889966790 -68.45916000000 0.60188965000
P -1.32839966790 -66.90684000000 0.60188965000
P -2.98889966790 -65.05884000000 -0.60188965000
P -1.32839966790 -66.14916000000 -0.60188965000
P -2.98889966790 -63.83916000000 0.60188965000
P -1.32839966790 -62.28684000000 0.60188965000
P -2.98889966790 -60.43884000000 -0.60188965000
P -1.32839966790 -61.52916000000 -0.60188965000
P -2.98889966790 -59.21916000000 0.60188965000
P -1.32839966790 -57.66684000000 0.60188965000
P -2.98889966790 -55.81884000000 -0.60188965000
P -1.32839966790 -56.90916000000 -0.60188965000
P -2.98889966790 -54.59916000000 0.60188965000
P -1.32839966790 -53.04684000000 0.60188965000
P -2.98889966790 -51.19884000000 -0.60188965000
P -1.32839966790 -52.28916000000 -0.60188965000
P -2.98889966790 -49.97916000000 0.60188965000
P -1.32839966790 -48.42684000000 0.60188965000
P -2.98889966790 -46.57884000000 -0.60188965000
P -1.32839966790 -47.66916000000 -0.60188965000
P -2.98889966790 -45.35916000000 0.60188965000
P -1.32839966790 -43.80684000000 0.60188965000
P -2.98889966790 -41.95884000000 -0.60188965000
P -1.32839966790 -43.04916000000 -0.60188965000
P -2.98889966790 -40.73916000000 0.60188965000
P -1.32839966790 -39.18684000000 0.60188965000
P -2.98889966790 -37.33884000000 -0.60188965000
P -1.32839966790 -38.42916000000 -0.60188965000
P -2.98889966790 -36.11916000000 0.60188965000
P -1.32839966790 -34.56684000000 0.60188965000
P -2.98889966790 -32.71884000000 -0.60188965000
P -1.32839966790 -33.80916000000 -0.60188965000
P -2.98889966790 -31.49916000000 0.60188965000
P -1.32839966790 -29.94684000000 0.60188965000
P -2.98889966790 -28.09884000000 -0.60188965000
P -1.32839966790 -29.18916000000 -0.60188965000
P -2.98889966790 -26.87916000000 0.60188965000
P -1.32839966790 -25.32684000000 0.60188965000
P -2.98889966790 -23.47884000000 -0.60188965000
P -1.32839966790 -24.56916000000 -0.60188965000
P -2.98889966790 -22.25916000000 0.60188965000
P -1.32839966790 -20.70684000000 0.60188965000
P -2.98889966790 -18.85884000000 -0.60188965000
P -1.32839966790 -19.94916000000 -0.60188965000
P -2.98889966790 -17.63916000000 0.60188965000
P -1.32839966790 -16.08684000000 0.60188965000
P -2.98889966790 -14.23884000000 -0.60188965000
P -1.32839966790 -15.32916000000 -0.60188965000
P -2.98889966790 -13.01916000000 0.60188965000
P -1.32839966790 -11.46684000000 0.60188965000
P -2.98889966790 -9.61884000000 -0.60188965000
P -1.32839966790 -10.70916000000 -0.60188965000
P -2.98889966790 -8.39916000000 0.60188965000
P -1.32839966790 -6.84684000000 0.60188965000
P -2.98889966790 -4.99884000000 -0.60188965000
P -1.32839966790 -6.08916000000 -0.60188965000
P 0.33210033210 -73.07916000000 0.60188965000
P 1.99260033210 -71.52684000000 0.60188965000
P 0.33210033210 -69.67884000000 -0.60188965000
P 1.99260033210 -70.76916000000 -0.60188965000
P 0.33210033210 -68.45916000000 0.60188965000
P 1.99260033210 -66.90684000000 0.60188965000
P 0.33210033210 -65.05884000000 -0.60188965000
P 1.99260033210 -66.14916000000 -0.60188965000
P 0.33210033210 -63.83916000000 0.60188965000
P 1.99260033210 -62.28684000000 0.60188965000
P 0.33210033210 -60.43884000000 -0.60188965000
P 1.99260033210 -61.52916000000 -0.60188965000
P 0.33210033210 -59.21916000000 0.60188965000
