Superlattice vectors (celldm1_l units):
0.00000000000 -9.73803071364 0.00000000000
14.00000000000 0.00000000000 0.00000000000
Layer 1 points (Angstrom):
P -2.98889966790 -36.11916000000 0.60188965000
P -1.32839966790 -34.56684000000 0.60188965000
P -2.98889966790 -32.71884000000 -0.60188965000
P -1.32839966790 -33.80916000000 -0.60188965000
P -2.98889966790 -31.49916000000 0.60188965000
P -1.32839966790 -29.94684000000 0.60188965000
P -2.98889966790 -28.09884000000 -0.60188965000
P -1.32839966790 -29.18916000000 -0.60188965000
P -2.98889966790 -26.87916000000 0.60188965000
P -1.32839966790 -25.32684000000 0.60188965000
P -2.98889966790 -23.47884000000 -0.60188965000
P -1.32839966790 -24.56916000000 -0.60188965000
P -2.98889966790 -22.25916000000 0.60188965000
P -1.32839966790 -20.70684000000 0.60188965000
P -2.98889966790 -18.85884000000 -0.60188965000
P -1.32839966790 -19.94916000000 -0.60188965000
P -2.98889966790 -17.63916000000 0.60188965000
P -1.32839966790 -16.08684000000 0.60188965000
P -2.98889966790 -14.23884000000 -0.60188965000
P -1.32839966790 -15.32916000000 -0.60188965000
P -2.98889966790 -13.01916000000 0.60188965000
P -1.32839966790 -11.46684000000 0.60188965000
P -2.98889966790 -9.61884000000 -0.60188965000
P -1.32839966790 -10.70916000000 -0.60188965000
P -2.98889966790 -8.39916000000 0.60188965000
P -1.32839966790 -6.84684000000 0.60188965000
P -2.98889966790 -4.99884000000 -0.60188965000
P -1.32839966790 -6.08916000000 -0.60188965000
P 0.33210033210 -36.11916000000 0.60188965000
P 1.99260033210 -34.56684000000 0.60188965000
P 0.33210033210 -32.71884000000 -0.60188965000
P 1.99260033210 -33.80916000000 -0.60188965000
P 0.33210033210 -31.49916000000 0.60188965000
P 1.99260033210 -29.94684000000 0.60188965000
P 0.33210033210 -28.09884000000 -0.60188965000
P 1.99260033210 -29.18916000000 -0.60188965000
P 0.33210033210 -26.87916000000 0.60188965000
P 1.99260033210 -25.32684000000 0.60188965000
P 0.33210033210 -23.47884000000 -0.60188965000
P 1.99260033210 -24.56916000000 -0.60188965000
P 0.33210033210 -22.25916000000 0.60188965000
P 1.99260033210 -20.70684000000 0.60188965000
P 0.33210033210 -18.85884000000 -0.60188965000
P 1.99260033210 -19.94916000000 -0.60188965000
P 0.33210033210 -17.63916000000 0.60188965000
P 1.99260033210 -16.08684000000 0.60188965000
P 0.33210033210 -14.23884000000 -0.60188965000
P 1.99260033210 -15.32916000000 -0.60188965000
P 0.33210033210 -13.01916000000 0.60188965000
P 1.99260033210 -11.46684000000 0.60188965000
P 0.33210033210 -9.61884000000 -0.60188965000
P 1.99260033210 -10.70916000000 -0.60188965000
P 0.33210033210 -8.39916000000 0.60188965000
P 1.99260033210 -6.84684000000 0.60188965000
P 0.33210033210 -4.99884000000 -0.60188965000
P 1.99260033210 -6.08916000000 -0.60188965000
P 3.65310033210 -36.11916000000 0.60188965000
P 5.31360033210 -34.56684000000 0.60188965000
P 3.65310033210 -32.71884000000 -0.60188965000
P 5.31360033210 -33.80916000000 -0.60188965000
P 3.65310033210 -31.49916000000 0.60188965000
P 5.31360033210 -29.94684000000 0.60188965000
P 3.65310033210 -28.09884000000 -0.60188965000
P 5.31360033210 -29.18916000000 -0.60188965000
P 3.65310033210 -26.87916000000 0.60188965000
P 5.31360033210 -25.32684000000 0.60188965000
P 3.65310033210 -23.47884000000 -0.60188965000
P 5.31360033210 -24.56916000000 -0.60188965000
P 3.65310033210 -22.25916000000 0.60188965000
P 5.31360033210 -20.70684000000 0.60188965000
P 3.65310033210 -18.85884000000 -0.60188965000
P 5.31360033210 -19.94916000000 -0.60188965000
P 3.65310033210 -17.63916000000 0.60188965000
P 5.31360033210 -16.08684000000 0.60188965000
P 3.65310033210 -14.23884000000 -0.60188965000
P 5.31360033210 -15.32916000000 -0.60188965000
P 3.65310033210 -13.01916000000 0.60188965000
P 5.31360033210 -11.46684000000 0.60188965000
P 3.65310033210 -9.61884000000 -0.60188965000
P 5.31360033210 -10.70916000000 -0.60188965000
P 3.65310033210 -8.39916000000 0.60188965000
P 5.31360033210 -6.84684000000 0.60188965000
P 3.65310033210 -4.99884000000 -0.60188965000
P 5.31360033210 -6.08916000000 -0.60188965000
P 6.97410033210 -36.11916000000 0.60188965000
P 8.63460033210 -34.56684000000 0.60188965000
P 6.97410033210 -32.71884000000 -0.60188965000
P 8.63460033210 -33.80916000000 -0.60188965000
P 6.97410033210 -31.49916000000 0.60188965000
P 8.63460033210 -29.94684000000 0.60188965000
P 6.97410033210 -28.09884000000 -0.60188965000
P 8.63460033210 -29.18916000000 -0.60188965000
P 6.97410033210 -26.87916000000 0.60188965000
P 8.63460033210 -25.32684000000 0.60188965000
P 6.97410033210 -23.47884000000 -0.60188965000
P 8.63460033210 -24.56916000000 -0.60188965000
P 6.97410033210 -22.25916000000 0.60188965000
P 8.63460033210 -20.70684000000 0.60188965000
P 6.97410033210 -18.85884000000 -0.60188965000
P 8.63460033210 -19.94916000000 -0.60188965000
P 6.97410033210 -17.63916000000 0.60188965000
P 8.63460033210 -16.08684000000 0.60188965000
P 6.97410033210 -14.23884000000 -0.60188965000
P 8.63460033210 -15.32916000000 -0.60188965000
P 6.97410033210 -13.01916000000 0.60188965000
P 8.63460033210 -11.46684000000 0.60188965000
P 6.97410033210 -9.61884000000 -0.60188965000
P 8.63460033210 -10.70916000000 -0.60188965000
P 6.97410033210 -8.39916000000 0.60188965000
P 8.63460033210 -6.84684000000 0.60188965000
P 6.97410033210 -4.99884000000 -0.60188965000
P 8.63460033210 -6.08916000000 -0.60188965000
P 10.29510033210 -36.11916000000 0.60188965000
P 11.95560033210 -34.56684000000 0.60188965000
P 10.29510033210 -32.71884000000 -0.60188965000
P 11.95560033210 -33.80916000000 -0.60188965000
P 10.29510033210 -31.49916000000 0.60188965000
P 11.95560033210 -29.94684000000 0.60188965000
P 10.29510033210 -28.09884000000 -0.60188965000
P 11.95560033210 -29.18916000000 -0.60188965000
P 10.29510033210 -26.87916000000 0.60188965000
P 11.95560033210 -25.32684000000 0.60188965000
P 10.29510033210 -23.47884000000 -0.60188965000
P 11.95560033210 -24.56916000000 -0.60188965000
P 10.29510033210 -22.25916000000 0.60188965000
