Superlattice vectors (celldm1 units):
-0.500000 4.330127 0.000000
-4.000000 1.732051 0.000000
Layer 1 points (Angstrom):
S1 -12.464000 3.598047 4.344408
S2 -12.464000 3.598047 7.434640
S1 -14.022000 6.296582 4.344408
S2 -14.022000 6.296582 7.434640
S1 -15.580000 8.995117 4.344408
S2 -15.580000 8.995117 7.434640
S1 -7.790000 0.899512 4.344408
S2 -7.790000 0.899512 7.434640
S1 -9.348000 3.598047 4.344408
S2 -9.348000 3.598047 7.434640
Mo -10.906000 2.698535 5.889524
S1 -10.906000 6.296582 4.344408
S2 -10.906000 6.296582 7.434640
Mo -12.464000 5.397070 5.889524
S1 -12.464000 8.995117 4.344408
S2 -12.464000 8.995117 7.434640
Mo -14.022000 8.095605 5.889524
S1 -14.022000 11.693652 4.344408
S2 -14.022000 11.693652 7.434640
Mo -15.580000 10.794141 5.889524
S1 -15.580000 14.392187 4.344408
S2 -15.580000 14.392187 7.434640
S1 -4.674000 0.899512 4.344408
S2 -4.674000 0.899512 7.434640
Mo -6.232000 0.000000 5.889524
S1 -6.232000 3.598047 4.344408
S2 -6.232000 3.598047 7.434640
Mo -7.790000 2.698535 5.889524
S1 -7.790000 6.296582 4.344408
S2 -7.790000 6.296582 7.434640
Mo -9.348000 5.397070 5.889524
S1 -9.348000 8.995117 4.344408
S2 -9.348000 8.995117 7.434640
Mo -10.906000 8.095605 5.889524
S1 -10.906000 11.693652 4.344408
S2 -10.906000 11.693652 7.434640
Mo -12.464000 10.794141 5.889524
S1 -12.464000 14.392187 4.344408
S2 -12.464000 14.392187 7.434640
Mo -14.022000 13.492676 5.889524
Mo -15.580000 16.191211 5.889524
Mo -3.116000 0.000000 5.889524
Mo -4.674000 2.698535 5.889524
S1 -4.674000 6.296582 4.344408
S2 -4.674000 6.296582 7.434640
Mo -6.232000 5.397070 5.889524
S1 -6.232000 8.995117 4.344408
S2 -6.232000 8.995117 7.434640
Mo -7.790000 8.095605 5.889524
S1 -7.790000 11.693652 4.344408
S2 -7.790000 11.693652 7.434640
Mo -9.348000 10.794141 5.889524
Mo -10.906000 13.492676 5.889524
Mo -4.674000 8.095605 5.889524
S1 -4.674000 11.693652 4.344408
S2 -4.674000 11.693652 7.434640
Mo -6.232000 10.794141 5.889524
Number of points in layer 1: 57
Layer 2 points (Angstrom):
S1 -9.922000 1.372939 10.244408
S2 -9.922000 1.372939 13.334640
S1 -12.054000 3.645390 10.244408
S2 -12.054000 3.645390 13.334640
S1 -14.186000 5.917840 10.244408
S2 -14.186000 5.917840 13.334640
S1 -4.756000 -0.189371 10.244408
S2 -4.756000 -0.189371 13.334640
S1 -6.888000 2.083080 10.244408
S2 -6.888000 2.083080 13.334640
Mo -8.200000 0.852169 11.789524
S1 -9.020000 4.355530 10.244408
S2 -9.020000 4.355530 13.334640
Mo -10.332000 3.124620 11.789524
S1 -11.152000 6.627981 10.244408
S2 -11.152000 6.627981 13.334640
Mo -12.464000 5.397070 11.789524
S1 -13.284000 8.900432 10.244408
S2 -13.284000 8.900432 13.334640
Mo -14.596000 7.669521 11.789524
S1 -15.416000 11.172882 10.244408
S2 -15.416000 11.172882 13.334640
Mo -3.034000 -0.710141 11.789524
S1 -3.854000 2.793221 10.244408
S2 -3.854000 2.793221 13.334640
Mo -5.166000 1.562310 11.789524
S1 -5.986000 5.065671 10.244408
S2 -5.986000 5.065671 13.334640
Mo -7.298000 3.834760 11.789524
S1 -8.118000 7.338122 10.244408
S2 -8.118000 7.338122 13.334640
Mo -9.430000 6.107211 11.789524
S1 -10.250000 9.610573 10.244408
S2 -10.250000 9.610573 13.334640
Mo -11.562000 8.379662 11.789524
S1 -12.382000 11.883023 10.244408
S2 -12.382000 11.883023 13.334640
Mo -13.694000 10.652112 11.789524
S1 -14.514000 14.155474 10.244408
S2 -14.514000 14.155474 13.334640
Mo -15.826000 12.924563 11.789524
Mo -4.264000 4.544901 11.789524
S1 -5.084000 8.048263 10.244408
S2 -5.084000 8.048263 13.334640
Mo -6.396000 6.817352 11.789524
S1 -7.216000 10.320713 10.244408
S2 -7.216000 10.320713 13.334640
Mo -8.528000 9.089803 11.789524
S1 -9.348000 12.593164 10.244408
S2 -9.348000 12.593164 13.334640
Mo -10.660000 11.362253 11.789524
Mo -12.792000 13.634704 11.789524
Mo -14.924000 15.907155 11.789524
S1 -4.182000 11.030854 10.244408
S2 -4.182000 11.030854 13.334640
Mo -5.494000 9.799943 11.789524
Mo -7.626000 12.072394 11.789524
Number of points in layer 2: 57

Total number of atoms: 114
